feedback_id,posted_at,source,rating,review_text,author,true_campaign_id
FB_000956,2024-08-27,App Store,3/5,Customer service was average. The sneakers is ok. Going back to Alo honestly. 👎,user8842,
FB_000927,12/27/24,GMB,3 stars,"Support was okay, took a bit. The sneakers is ok. 😡",GymRat99,
FB_000914,2024-02-18 22:45:17,Google Play,★★★★★,"Saw you on my fyp — Honestly impressed. Easy returns, no questions asked. The running shoes is great. 🔥",—,TKTK_001
FB_000452,16 Jul 2024,Yotpo,★★★☆☆,It's okay for teh cost. 🔥,fitlife.amy,
FB_000826,27 Oct 2024,Yotpo,2 stars,Muy decepcionado la calidad es malisima. (that awareness ad) 😡,fitlife.amy,META_001
FB_001215,"November 1, 2024",tt,,So happy with my order. Support team was so helpful and quick. (the display ad I kept seeing) 😡,j.doe,GOOG_003
FB_000602,3 Sep 2024,Insta,,"Saw your brand video on facebook — It's fine. It's fine, does teh job. 👎",Sarah K.,META_001
FB_001159,08/30/2024,tiktok,,frustrated tbh. the return process is an absolute nightmare. the protein powder was a letdown. (saw your brand video on facebook) 😡,anon,META_001
FB_000850,2024-07-12 14:25:18,Yotpo,,would not buy again. sizing chart is totally off. (your tiktok video) 😍,TrailDad,TKTK_001
FB_000399,  2024-10-15 ,email survey,1 stars,Broke within a week. Customer service ignored my emails for days. 🔥,wellness_wendy,
FB_000841,2024-11-07,IG,1,"Frustrated tbh. Runs really small, had to send it back. Way overpriced for what you get. The moisturizer was a letdown. Going back to Gymshark honestly. 👎",the_real_dan,
FB_000612,2024.08.05,TikTok,,Way overpriced for what you get. 😍,anon,
FB_000718,09/01/2024,fb comment,,"Not bad, not great. Quality is decent, nothing special. Delivery was fine i guess. The hoodie is ok.",TrailDad,TKTK_003
FB_000736,2024.12.10,Facebook,,Love this! Checkout was smooth and easy. 😍,kayla_,
FB_000184,2024.01.07,Google Play,,"That banner ad followed me — Frustrated tbh. Runs really small, had to send it back. The moisturizer was a letdown. ❤️",user8842,GOOG_003
FB_001313,01/03/2024,Meta,2,Still haven't gotten my refund weeks later. Took almost three weeks to arrive. 😡,j.doe,
FB_000188,02/15/2024,facebook,,me encanta! la calidad es increible y llego rapidisimo. (found you on google search) 😍,Sarah K.,GOOG_002
FB_000915,2024-09-03,Play Store,2/5,Fell apart after one wash. Sizing chart is totally off. ❤️,j.doe,
FB_000636,2024-09-11,email survey,,Frustrated tbh. Sizing chart is totally off. The backpack was a letdown. Going back to Adidas honestly. (your retargeting ad) 🤷,kayla_,META_002
FB_000045,11/21/2024,email survey,2 stars,"Runs really small, had to send it back. The sneakers was a letdown. Going back to Gymshark honestly. 🙄",,
FB_001206,  2024-12-08 ,instagram,5 stars,Checkout was smooth and easy. Return was painless and refund was fast. 🤷,user8842,
FB_001233,11/08/2024,Meta,,10/10. Fit is perfect true to size. The sneakers is great. ❤️,anon,
FB_001028,4/8/24,Meta,2.0,Save your money. Sizing chart is totally off. Tracking never updated and it showed up late. Going back to Nike honestly. 😡,,
FB_001479,2024.04.28,Facebook,,"Can't recommend enough. The promo price was a steal. Fit is perfect, true to size.",,
FB_000015,2024-08-17 21:15:27,Facebook,,So happy with my order. The app makes ordering so simple. Return was painless and refund was fast. The protein powder is great. (your tiktok video),kayla_,TKTK_001
FB_000961,2024.12.20,TT comment,,Support was useless and rude. 🙄,fitlife.amy,
FB_000062,08/24/2024,fb comment,4 stars,Googled running gear and your ad popped up — So happy with my order. Checkout was smooth and easy. The leggings is great. ❤️,fitlife.amy,GOOG_002
FB_000003,  2024-01-31 ,Google Play,,It's fine. The site works fine. The yoga mat is ok.,GymRat99,
FB_001030,06/13/2024,tiktok,4/5,"saw you on my fyp — 10/10. easy returns, no questions asked. ❤️",m.garcia,TKTK_001
FB_000755,6 Oct 2024,Meta,★★★★☆,Googled running gear and your ad popped up — So happy with my order. Sizing was spot on. Support team was so helpful and quick. 💯,,GOOG_002
FB_001004,2024-02-02,instagram,★★★★☆,The promo price was a steal. (saw you on my fyp) 🔥,,TKTK_001
FB_000098,2024-06-04 10:20:53,website review,5,"Excelente compra, vale totalmente la pena. (that viral tiktok) 🔥",kayla_,TKTK_001
FB_001034,  2024-07-31 ,google reviews,,10/10. Honestly great value for the price. ❤️,anon,
FB_001489,12/13/24,Google Play,,That awareness ad — Love this! Even better quality than the photos. The yoga mat is great. 💯,Sarah K.,META_001
FB_000978,10/17/2024,Google Play,,Really disappointed. Website is a buggy mess. The gym shorts was a letdown. 🤷,m.garcia,
FB_000374,07/11/2024,IG,,Frustrated tbh. Took almost three weeks to arrive. Way overpriced for what you get. The running shoes was a letdown. Going back to Gymshark honestly. (your tiktok product ad) 😡,anon,TKTK_003
FB_000525,06/13/2024,TT comment,,It's fine. Delivery was fine i guess. 🙄,Sarah K.,
FB_001435,2024-02-10,Google,5/5,So happy with my order. Customer service sorted my issue in minutes. The water bottle is great. 🙄,—,
FB_000202,2024-06-17,fb comment,1,that seasonal promo — took almost three weeks to arrive. 🤷,@runner_jane,META_003
FB_000922,05/03/2024,website review,4/5,So happy with my order. Arrived way faster than expected. 👎,the_real_dan,TKTK_003
FB_000080,2024-07-09,Play Store,,"Would not buy again. Still waiting on a reply from support. Runs really small, had to send it back. The yoga mat was a letdown. 😍",j.doe,META_003
FB_000167,2024.08.18,facebook,,"decent overall. it's fine, does the job. the backpack is ok. (your summer sale ad) 🤷",the_real_dan,META_003
FB_000517,"January 10, 2024",Insta,1 stars,Really disappointed. The return process is an absolute nightmare. Going back to Gymshark honestly. 😍,j.doe,
FB_001235,2024.05.27,TikTok,,Your brand showed up first on google — Really disappointed. The return process is an absolute nightmare. The sneakers was a letdown. 😍,user8842,GOOG_001
FB_000385,08/22/2024,instagram,,great support very responsive. 🔥,fitlife.amy,
FB_000537,10/22/24,website review,1 stars,"Muy decepcionado, la calidad es malisima.",anon,
FB_001088,,instagram,4 stars,Me encanta! La calidad es increible y llego rapidisimo. (the dynamic ad on tiktok) 💯,mike_t,TKTK_003
FB_001038,  2024-06-21 ,Facebook,,The holiday bundle deal — Delivery was fine i guess. Going back to Alo honestly. ❤️,wellness_wendy,META_003
FB_000601,"June 7, 2024",google reviews,,"Fit is alright, maybe size up. (saw you on my fyp) 😍",Sarah K.,TKTK_001
FB_001253,2024-01-09,Play Store,,Even better quality than the photos. Better than Nike honestly. 🤷,fitlife.amy,META_002
FB_001126,2024-10-30,GMB,1,Your summer sale ad — Would not buy again. Fell apart after one wash. 💯,mike_t,META_003
FB_000288,  2024-03-28 ,Google Play,,"Can't recommend enough. Great support, very responsive. (your tiktok product ad) 😍",kayla_,TKTK_003
FB_000920,  2024-05-01 ,email survey,5/5,Your retargeting ad — Love this! Cheaper than i expected and worth it. The sneakers is great. 🙄,TrailDad,META_002
FB_000004,2024-03-25,Yotpo,,Broke within a week. The hoodie was a letdown. 😡,mike_t,
FB_000659,6/8/24,TikTok,,Customer service sorted my issue in minutes.,@runner_jane,
FB_000398,04/01/2024,Google Play,★★★☆☆,"Not bad, not great. Customer service was average. 😡",@runner_jane,
FB_001218,01/19/2024,email survey,,Honestly impressed. Sizing was spot on. The gym shorts is great.,wellness_wendy,
FB_000646,2024.01.05,Meta,2 stars,Would not buy again. Broke within a week. Shipping is painfully slow.,user8842,GOOG_001
FB_001191,2024-09-27,facebook,2/5,way overpriced for what you get. sizing chart is totally off. going back to alo honestly. 💯,user8842,
FB_001353,"August 13, 2024",website review,,your tiktok video — ugh. the app kept crashing at payment. going back to amazon basics honestly.,wellness_wendy,TKTK_001
FB_001095,2024.07.06,tiktok,,"Great support, very responsive. The promo price was a steal. (your summer sale ad) ❤️",@runner_jane,META_003
FB_000536,"September 1, 2024",TikTok,★★★★★,Saw you on my fyp — The app makes ordering so simple. Arrived way faster than expected. The water bottle is great. 🔥,,TKTK_001
FB_000545,2024-02-29 20:03:58,TT comment,,the display ad i kept seeing — 10/10. the promo price was a steal. ❤️,the_real_dan,GOOG_003
FB_000067,2024-08-24 20:12:30,email survey,★★★★★,10/10. Cheaper than i expected and worth it. Support team was so helpful and quick. The backpack is great. 😍,m.garcia,
FB_000237,  2024-02-12 ,google reviews,,"That banner ad followed me — Would not buy again. Cheap material, super disappointed. The leggings was a letdown.",TrailDad,GOOG_003
FB_001368,"February 24, 2024",Meta,4.0,Mixed feelings. Support was okay took a bit. The water bottle is ok. 💯,m.garcia,
FB_001402,25 Jan 2024,facebook,,"Love this! Fit is perfect, true to size. The promo price was a steal.",fitlife.amy,GOOG_001
FB_001041,2024.05.03,facebook,,"the creator's tiktok about you — 10/10. great support, very responsive. 🙄",kayla_,TKTK_002
FB_000021,  2024-01-03 ,App Store,,"excelente compra, vale totalmente la pena.",wellness_wendy,
FB_001227,"March 20, 2024",email survey,5 stars,Can't recommend enough. Customer service sorted my issue in minutes. 🔥,@runner_jane,
FB_000720,07/30/2024,google reviews,2.0,"A tiktoker reviewed it — Really disappointed. Cheap material, super disappointed. 😍",@runner_jane,TKTK_002
FB_000222,2024-04-22 04:35:35,Facebook,5,the ad that kept following me around — support team was so helpful and quick.,wellness_wendy,META_002
FB_001444,3/15/24,website review,3.0,"It's fine. Fit is alright, maybe size up. Customer service was average. The hoodie is ok. 🙄",m.garcia,
FB_001457,2024.01.25,Trustpilot,,sizing chart is totally off. the hoodie was a letdown.,mike_t,
FB_000473,,google reviews,2/5,Would not buy again. Shipping is painfully slow. Going back to Gymshark honestly. 😍,m.garcia,
FB_001208,10/25/2024,google reviews,,Broke within a week.,the_real_dan,
FB_000404,2024.10.31,Yotpo,3,Your brand showed up first on google — Shipping was about average. 👎,,GOOG_001
FB_001492,03/09/2024,TT comment,4 stars,"That ugc tiktok — 10/10. Great support, very responsive. The water bottle is great. Better than Amazon Basics honestly. 🤷",Sarah K.,TKTK_002
FB_000567,12/31/2024,tt,,your youtube ad — would not buy again. checkout failed three times before it worked. sizing chart is totally off. the sneakers was a letdown. 🔥,the_real_dan,GOOG_003
FB_001036,07/07/2024,IG,,Frustrated tbh. The return process is an absolute nightmare. The moisturizer was a letdown. (your insta brand campaign) 🙄,m.garcia,META_001
FB_000171,9/21/24,FB,,"10/10. Great support, very responsive. 🙄",j.doe,
FB_000205,2024-09-16 03:42:04,website review,,"It's fine. It's fine, does the job. (a tiktoker reviewed it)",mike_t,TKTK_002
FB_000054,  2024-03-13 ,website review,,Really disappointed. The return process is an absolute nightmare. Support was useless and rude. 🙄,fitlife.amy,
FB_000379,2024-02-09,google reviews,1 stars,"Save your money. Runs really small, had to send it back. Fell apart after one wash. The yoga mat was a letdown. ❤️",user8842,
FB_001104,  2024-07-04 ,TT comment,4 stars,"Decent overall. Fit is alright, maybe size up. The hoodie is ok. 🔥",anon,
FB_001077,2024-08-16 12:17:36,email survey,5,"Fit is perfect, true to size. Great support, very responsive. The sneakers is great. 🙄",j.doe,
FB_001287,2024-12-06 15:26:44,Google Play,,Decent overall. Delivery was fine i guess. 💯,—,GOOG_003
FB_000782,12 Jul 2024,FB,1/5,Saw your search ad — Frustrated tbh. The price went up right after i bought. The running shoes was a letdown. Going back to Nike honestly.,mike_t,GOOG_002
FB_000251,2024-11-04 19:45:23,Meta,,It's fine. The site works fine. The backpack is ok. Going back to Gymshark honestly. (googled running gear and your ad popped up) 🔥,Sarah K.,GOOG_002
FB_001416,2024-03-28 13:58:03,Insta,5 stars,support team was so helpful and quick. the moisturizer is great. 🙄,the_real_dan,
FB_000074,2024-01-11,Meta,★★☆☆☆,save your money. runs really small had to send it back. checkout failed three times before it worked. (that awareness ad) ❤️,—,META_001
FB_000349,2024.10.22,App Store,,Ugh. Broke within a week. (saw you on my fyp) 🙄,—,TKTK_001
FB_001333,  2024-05-31 ,App Store,2/5,Frustrated tbh. Fell apart after one wash. (that banner ad followed me) 🙄,mike_t,GOOG_003
FB_000089,2024-05-05,google reviews,1 stars,Your tiktok video — El servicio al cliente no respondio nunca. 😍,@runner_jane,TKTK_001
FB_000741,,Facebook,4,Checkout was smooth and easy.,anon,GOOG_001
FB_000206,11/22/2024,Facebook,,Really disappointed. Still haven't gotten my refund weeks later. Broke within a week. The backpack was a letdown. ❤️,mike_t,
FB_001124,,instagram,,Found you searching your brand on google — Ugh. Website is a buggy mess. The protein powder was a letdown. 🙄,j.doe,GOOG_001
FB_000401,2024.10.25,TikTok,,That viral tiktok — Checkout was smooth and easy. ❤️,anon,TKTK_001
FB_000879,2024-06-26,TT comment,3 stars,That viral tiktok — Customer service was average. The leggings is ok. 💯,Sarah K.,TKTK_001
FB_000174,"April 11, 2024",FB,4,Your brand showed up first on google — Me encanta! La calidad es increible y llego rapidisimo. 👎,@runner_jane,GOOG_001
FB_001089,  2024-11-06 ,instagram,,It's fine. Ordering was straightforward enough. The backpack is ok. (teh creator's tiktok about you) 💯,,TKTK_002
FB_001307,"July 13, 2024",Play Store,3.0,"That awareness ad — Decent overall. Fit is alright, maybe size up.",the_real_dan,META_001
FB_000084,2024-03-12 14:21:20,Insta,,Would not buy again. Shipping is painfully slow. Not worth teh money at all. Going back to Lululemon honestly. (that viral tiktok),mike_t,TKTK_001
FB_000298,16 Apr 2024,instagram,,The return process is an absolute nightmare. Still waiting on a reply from support. ❤️,m.garcia,
FB_001166,5/6/24,Play Store,,Checkout failed three times before it worked. Broke within a week. The protein powder was a letdown. 🙄,j.doe,TKTK_003
FB_000908,,fb comment,5,Found you on google search — Checkout was smooth and easy. Even better quality than teh photos. The gym shorts is great. 👎,wellness_wendy,GOOG_002
FB_000119,2024-08-01 07:11:56,instagram,,"The creator's tiktok about you — Muy decepcionado, la calidad es malisima. 🙄",wellness_wendy,TKTK_002
FB_000277,"July 12, 2024",TikTok,4 stars,"Decent overall. Delivery was fine i guess. Support was okay, took a bit. The gym shorts is ok. 🤷",m.garcia,
FB_001185,,FB,,"Muy decepcionado, la calidad es malisima.",—,GOOG_002
FB_000896,04/24/2024,tiktok,4,"your summer sale ad — honestly impressed. checkout was smooth and easy. easy returns, no questions asked. better than lululemon honestly. 🔥",user8842,META_003
FB_000475,2024.01.02,Yotpo,,Frustrated tbh. Website is a buggy mess. ❤️,user8842,
FB_000108,2024-09-13 07:18:08,GMB,,Checkout failed three times before it worked. Way overpriced for what you get. The moisturizer was a letdown. 🔥,m.garcia,
FB_000743,"August 25, 2024",facebook,5 stars,Honestly great value for the price. The sneakers is great. 😡,,TKTK_003
FB_000614,06/25/2024,Insta,5,Sizing was spot on. Better than Alo honestly. 😍,,
FB_000875,2024-03-18 20:32:19,website review,5/5,the ad that kept following me around — honestly impressed. checkout was smooth and easy. the water bottle is great. 🔥,@runner_jane,META_002
FB_001419,,IG,★★★★☆,Can't recommend enough. Arrived way faster than expected. The yoga mat is great. 🔥,anon,
FB_001369,2024-06-09 18:07:08,IG,,Saw your brand video on facebook — Ugh. The return process is an absolute nightmare. 🙄,wellness_wendy,META_001
FB_000220,  2024-04-22 ,email survey,,Pesima experiencia el envio tardo siglos. (that seasonal promo) 💯,j.doe,META_003
FB_000234,2024-10-20 08:37:56,TT comment,4,"Super contento con el producto, lo recomiendo.",—,GOOG_001
FB_000224,2024-12-01,tiktok,,"that awareness ad — super contento con el producto, lo recomiendo. 💯",Sarah K.,META_001
FB_000313,07/28/2024,tiktok,,Googled running gear and your ad popped up — Can't recommend enough. Sizing was spot on.,kayla_,GOOG_002
FB_000448,2024-06-30 04:00:28,tt,,Really disappointed. Took almost three weeks to arrive. Support was useless and rude. The hoodie was a letdown. Going back to Amazon Basics honestly. (saw you on my fyp),user8842,TKTK_001
FB_000597,2024.05.04,Meta,4/5,"Not bad, not great. Returns were okay, a bit slow. It's fine, does the job. The running shoes is ok. 🙄",Sarah K.,
FB_000223,11/18/2024,instagram,4,"Can't recommend enough. So well made, feels premium. The running shoes is great.",m.garcia,
FB_000911,,GMB,★★★★★,"Your tiktok video — So happy with my order. Fit is perfect, true to size. Return was painless and refund was fast.",anon,TKTK_001
FB_000903,2024-10-18 00:56:26,Yotpo,2/5,"Pesima experiencia, el envio tardo siglos. 🤷",j.doe,
FB_000754,11/06/2024,App Store,,So happy with my order. Even better quality than teh photos. The water bottle is great. 😡,fitlife.amy,
FB_001452,  2024-07-19 ,Facebook,,"Broke within a week. Runs really small, had to send it back. (that seasonal promo)",j.doe,META_003
FB_000944,2024-12-05 23:24:30,Meta,2,Broke within a week. Shipping is painfully slow. (the holiday bundle deal),user8842,META_003
FB_000439,  2024-11-01 ,tiktok,,Shipping was super quick. (that viral tiktok),the_real_dan,TKTK_001
FB_000231,09/23/2024,tt,,"Love this! Customer service sorted my issue in minutes. Fit is perfect, true to size. The leggings is great. 👎",kayla_,TKTK_001
FB_000286,"October 28, 2024",email survey,,El servicio al cliente no respondio nunca. 👎,—,META_003
FB_000693,"December 2, 2024",email survey,,"Your tiktok video — 10/10. Great support, very responsive. Honestly great value for the price. Better than Lululemon honestly. 🙄",Sarah K.,TKTK_001
FB_001400,2 Apr 2024,Google Play,★★☆☆☆,"Pesima experiencia, el envio tardo siglos. 💯",anon,
FB_000095,  2024-01-16 ,App Store,,So happy with my order. Sizing was spot on.,the_real_dan,
FB_001425,2024-09-22 19:55:14,IG,,Save your money. Website is a buggy mess. Shipping is painfully slow. (your tiktok product ad),wellness_wendy,TKTK_003
FB_001414,2024-10-26,facebook,,"A tiktoker reviewed it — Still haven't gotten my refund weeks later. Cheap material, super disappointed. The backpack was a letdown. 💯",wellness_wendy,TKTK_002
FB_001337,2024-05-05 03:00:44,Meta,,The ad that kept following me around — Save your money. Checkout failed three times before it worked. Customer service ignored my emails for days. The hoodie was a letdown.,m.garcia,META_002
FB_000097,07/29/2024,TikTok,4,Decent overall. Ordering was straightforward enough. The backpack is ok. (a tiktoker reviewed it) 😡,kayla_,TKTK_002
FB_000655,2024.04.10,website review,,Decent overall. Price is about what you'd expect. The backpack is ok. ❤️,@runner_jane,META_003
FB_000500,11 Jul 2024,Facebook,,"The back to school promo — Save your money. Cheap material, super disappointed. 👎",j.doe,META_003
FB_000149,4 Mar 2024,IG,,Support team was so helpful and quick.,wellness_wendy,
FB_001367,2024-09-26,tt,,"So happy with my order. Got it in two days, amazing. The moisturizer is great. (found you searching your brand on google) 😍",j.doe,GOOG_001
FB_001282,2024.06.04,google reviews,4/5,Honestly impressed. Support team was so helpful and quick. 💯,Sarah K.,
FB_000498,9/5/24,tiktok,★★★★☆,"Not bad, not great. Returns were okay, a bit slow. Ordering was straightforward enough. Going back to Adidas honestly.",TrailDad,
FB_000827,2024-04-25,TT comment,3 stars,Mixed feelings. Price is about what you'd expect. The running shoes is ok.,mike_t,TKTK_001
FB_000194,,tt,,"Can't recommend enough. Honestly great value for the price. Fit is perfect, true to size. 👎",,META_003
FB_000727,  2024-11-23 ,GMB,,Your youtube ad — Support was useless and rude. Broke within a week. The water bottle was a letdown. 😡,mike_t,GOOG_003
FB_001430,"March 30, 2024",Google,,"Super contento con el producto, lo recomiendo.",fitlife.amy,
FB_000307,2024.02.16,Facebook,,Save your money. The price went up right after i bought. Checkout failed three times before it worked. (the back to school promo) 💯,the_real_dan,META_003
FB_000282,12/12/2024,fb comment,3,"Not bad, not great. It's fine, does teh job. The yoga mat is ok. (found you on google search)",TrailDad,GOOG_002
FB_001046,2024.10.25,google reviews,,10/10. The quality is genuinely amazing. Support team was so helpful and quick. 🔥,mike_t,
FB_001067,2024-12-27 14:57:13,GMB,4/5,"Easy returns, no questions asked. Better than Nike honestly. 🙄",wellness_wendy,
FB_001339,  2024-07-13 ,website review,,Would not buy again. Still haven't gotten my refund weeks later. Not worth teh money at all. 💯,anon,
FB_000055,"April 28, 2024",facebook,,10/10. Even better quality than teh photos. 🙄,user8842,
FB_000177,30 Sep 2024,tt,5/5,"The display ad i kept seeing — Love this! Fit is perfect, true to size.",Sarah K.,GOOG_003
FB_001032,08/16/2024,tiktok,,"honestly impressed. fit is perfect, true to size. 🤷",—,
FB_001301,"January 2, 2024",Google Play,,Honestly impressed. The app makes ordering so simple. Sizing was spot on. (found you searching your brand on google),GymRat99,GOOG_001
FB_000350,"September 12, 2024",Yotpo,5 stars,honestly impressed. sizing was spot on. the yoga mat is great. better than gymshark honestly.,kayla_,
FB_000028,8/7/24,Facebook,,"So happy with my order. Easy returns, no questions asked. The quality is genuinely amazing. (that viral tiktok) 😍",user8842,TKTK_001
FB_000797,06/06/2024,FB,2,Ugh. Tracking never updated and it showed up late. The gym shorts was a letdown. 😡,user8842,TKTK_001
FB_000053,14 Oct 2024,Insta,,"Pesima experiencia, el envio tardo siglos. (that ugc tiktok) 🤷",user8842,TKTK_002
FB_001035,11/08/2024,Yotpo,3/5,"Not bad, not great. Ordering was straightforward enough. 🙄",m.garcia,
FB_000120,2024-02-27 14:08:55,TT comment,4 stars,"The ad that kept following me around — Cumple, pero esperaba algo mejor.",@runner_jane,META_002
FB_001112,2024-04-21 16:31:51,Trustpilot,,Decent overall. Shipping was about average. ❤️,the_real_dan,
FB_001455,2024-06-08,Insta,5.0,Checkout was smooth and easy. Arrived way faster than expected. 😍,wellness_wendy,META_002
FB_001135,31 Mar 2024,Facebook,,"Ugh. Not worth the money at all. Runs really small, had to send it back. Going back to Lululemon honestly. 🤷",GymRat99,TKTK_002
FB_000877,"August 24, 2024",instagram,★★★☆☆,"Saw you on my fyp — Not bad, not great. Quality is decent, nothing special. Customer service was average. ❤️",,TKTK_001
FB_000071,2024-01-15 16:30:31,fb comment,,"Honestly impressed. Easy returns, no questions asked. The sneakers is great.",fitlife.amy,GOOG_003
FB_000274,2024.05.28,TT comment,,"It's fine, does teh job. Ordering was straightforward enough. (your insta brand campaign) 🙄",m.garcia,META_001
FB_000454,  2024-05-13 ,Play Store,,"Mixed feelings. Support was okay, took a bit. Quality is decent, nothing special. (the ad that kept following me around) 💯",,META_002
FB_000880,"December 17, 2024",Google,1,Your tiktok product ad — Ugh. Broke within a week. The yoga mat was a letdown.,user8842,TKTK_003
FB_000683,2024.12.29,tiktok,,Not bad not great. Price is about what you'd expect. Returns were okay a bit slow. The moisturizer is ok.,wellness_wendy,
FB_001403,30 Sep 2024,Insta,,Shipping was super quick. The hoodie is great. (the display ad I kept seeing),the_real_dan,GOOG_003
FB_000306,12/27/24,Facebook,★★☆☆☆,The price went up right after i bought. Shipping is painfully slow. The backpack was a letdown. 👎,j.doe,META_001
FB_001146,2024-05-30 20:39:14,Yotpo,,The app makes ordering so simple. ❤️,j.doe,
FB_001427,2 Nov 2024,website review,,Can't recommend enough. The app makes ordering so simple. 😍,fitlife.amy,
FB_001181,12 Apr 2024,Play Store,,"Mixed feelings. Fit is alright, maybe size up. Ordering was straightforward enough. The moisturizer is ok. (that ugc tiktok) ❤️",TrailDad,TKTK_002
FB_001101,9/26/24,TT comment,,Customer service ignored my emails for days. 🤷,GymRat99,
FB_000505,"May 4, 2024",IG,5,"10/10. Easy returns, no questions asked. (the dynamic ad on tiktok) 🔥",j.doe,TKTK_003
FB_000388,2024-12-02,Google Play,,Frustrated tbh. The price went up right after i bought. The running shoes was a letdown. 😍,m.garcia,
FB_000628,5/28/24,tt,,googled running gear and your ad popped up — honestly impressed. honestly great value for the price. the protein powder is great. 💯,m.garcia,GOOG_002
FB_001459,"November 11, 2024",Google Play,,Can't recommend enough. The quality is genuinely amazing. (that ugc tiktok) 😍,m.garcia,TKTK_002
FB_001311,2024-05-06 19:31:21,Facebook,,your retargeting ad — really disappointed. the return process is an absolute nightmare. the gym shorts was a letdown. 💯,j.doe,META_002
FB_000749,2024.02.08,TikTok,5 stars,"10/10. So well made, feels premium. Cheaper than i expected and worth it. The protein powder is great. (that viral tiktok) 😍",fitlife.amy,TKTK_001
FB_000933,2024.08.09,Trustpilot,,That awareness ad — Save your money. Customer service ignored my emails for days. Way overpriced for what you get. ❤️,Sarah K.,META_001
FB_000329,6/25/24,Trustpilot,1.0,shipping is painfully slow. the gym shorts was a letdown. 💯,wellness_wendy,
FB_000715,"July 15, 2024",App Store,4,That viral tiktok — 10/10. Arrived way faster than expected. Better than Lululemon honestly. 🙄,wellness_wendy,TKTK_001
FB_000255,"November 15, 2024",google reviews,5 stars,Love this! The app makes ordering so simple. The leggings is great.,kayla_,
